inn,name,revenue,site,cat_evidence,source,cat_product,employees,okved_main
7703009105,"ЗАО ""Промтех"" ""Promtex""",,https://baturin.ru?rp,"Производитель CAT-системы: ЗАО ""Промтех"" ""Promtex""",rusprofile,,,
2309112360,"ООО ""Промт""",,https://baturin.ru?rp,"Производитель CAT-системы: ООО ""Промт""",rusprofile,,,
7722223175,"ООО ""Литерра""",,https://baturin.ru?rp,"Производитель CAT-системы: ООО ""Литерра""",rusprofile,,,
4348032190,"ООО ""Гардарика""",,https://baturin.ru?rp,"Производитель CAT-системы: ООО ""Гардарика""",rusprofile,,,
7708762256,"ООО ""Логрус""",,https://baturin.ru?rp,"Производитель CAT-системы: ООО ""Логрус""",rusprofile,,,
9714044095,"ООО ""Локалпромтех""",,https://baturin.ru?rp,"Производитель CAT-системы: ООО ""Локалпромтех""",rusprofile,,,
7703474896,"ООО ""ЦЛТ""",197000000,http://loc-tech.ru/,Упоминание CAT/TMS/локализации на сайте,rusprofile,,45,74.30
7706750400,"ООО ""Транслинк""",,https://baturin.ru?rp,"Переводческая компания (CAT-система не обнаружена на сайте, но компания из списка): ООО ""Транслинк""",rusprofile,,35,
7701734475,"ООО ""Профперевод""",,https://baturin.ru?rp,"Переводческая компания (CAT-система не обнаружена на сайте, но компания из списка): ООО ""Профперевод""",rusprofile,,2,
7708605091,"ООО ""Глобал Транслейшн""",,https://baturin.ru?rp,"Переводческая компания (CAT-система не обнаружена на сайте, но компания из списка): ООО ""Глобал Транслейшн""",rusprofile,,3,
7841301827,"ООО ""Транстех""",,https://baturin.ru?rp,"Переводческая компания (CAT-система не обнаружена на сайте, но компания из списка): ООО ""Транстех""",rusprofile,,,
7734381070,"ООО ""Лингвапрофи""",,https://baturin.ru?rp,"Переводческая компания (CAT-система не обнаружена на сайте, но компания из списка): ООО ""Лингвапрофи""",rusprofile,,,
7718925291,"ООО ""Мультитранс""",,https://baturin.ru?rp,"Переводческая компания (CAT-система не обнаружена на сайте, но компания из списка): ООО ""Мультитранс""",rusprofile,,,
2801064673,"АООО ""Объединение Профессиональных Переводчиков""",,https://baturin.ru?rp,"Переводческая компания (CAT-система не обнаружена на сайте, но компания из списка): АООО ""Объединение Профессиональных Переводчиков""",rusprofile,,,
